ticker,tickerId,exchangeId,type,secType,regionId,regionCode,currencyId,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,derivativeSupport,isPTP,isAdr,filingsSupport,shariahFlag,issuerRegionId,securitySubType,bondSupport,mkTradeTime,tradeTime,status,close,change,changeRatio,marketValue,volume,turnoverRate,overnight,nBaSize,timeZone,tzName,preClose,open,high,low,vibrateRatio,avgVol10D,avgVol3M,negMarketValue,pe,forwardPe,indicatedPe,peTtm,eps,epsTtm,pb,totalShares,outstandingShares,fiftyTwoWkHigh,fiftyTwoWkLow,dividend,yield,baSize,ntvSize,currencyCode,lotSize,latestDividendDate,latestSplitDate,latestEarningsDate,ps,bps,estimateEarningsDate,tradeStatus,bboValve
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-25T13:46:40.838+0000,2025-08-25T13:46:40.838+0000,T,228.09,0.33,0.0014,3384944555100.00,3358554,0.0002,0,1,America/New_York,EDT,227.76,226.38,228.23,226.24,0.0087,42885230,55304452,3318180098092.02,37.49,30.91,25.90,34.67,6.08,6.58,51.48,14840390000,14547678978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.29,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-25T13:46:41.213+0000,2025-08-25T13:46:41.213+0000,T,336.37,-3.64,-0.0107,1084944242792.93,10111312,0.0031,0,1,America/New_York,EDT,340.01,339.00,341.46,335.58,0.0173,72782224,100665626,945237655654.43,165.02,269.10,76.96,194.95,2.038,1.725,14.03,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.70,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-25T14:43:30.089+0000,2025-08-25T14:43:30.089+0000,T,228.49,0.73,0.0032,3390825801657.00,9249760,0.0006,0,1,America/New_York,EDT,227.76,226.38,229.12,226.24,0.0126,42885230,55304452,3323945343271.00,37.56,30.96,25.90,34.73,6.08,6.58,51.57,14840390000,14547678978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.31,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-25T14:43:30.870+0000,2025-08-25T14:43:30.870+0000,T,340.48,0.47,0.0014,1098200837726.72,25005929,0.0078,0,1,America/New_York,EDT,340.01,339.00,342.15,335.03,0.0209,72782224,100665626,956787219422.72,167.04,272.38,76.96,197.33,2.038,1.725,14.20,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.84,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-25T15:41:37.545+0000,2025-08-25T15:41:37.545+0000,T,228.73,0.97,0.0042,3394368202750.00,12831073,0.0009,0,1,America/New_York,EDT,227.76,226.38,229.24,226.24,0.0132,42885230,55304452,3327417874243.05,37.60,30.99,25.90,34.77,6.08,6.58,51.62,14840390000,14547678978,259.18,168.80,1.040,0.0045,0,0,USD,1,2025-08-11,2020-08-31,,8.32,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-25T15:41:38.038+0000,2025-08-25T15:41:38.038+0000,T,344.97,4.96,0.0146,1112667298538.77,36590458,0.0113,0,1,America/New_York,EDT,340.01,339.00,345.52,335.03,0.0309,72782224,100665626,969390856516.92,169.24,275.97,76.96,199.93,2.038,1.725,14.39,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.99,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-25T16:46:57.293+0000,2025-08-25T16:46:57.293+0000,T,228.60,0.84,0.0037,3392471600908.00,15350699,0.0010,0,1,America/New_York,EDT,227.76,226.38,229.30,226.24,0.0134,42885230,55304452,3325558680869.66,37.58,30.98,25.90,34.75,6.08,6.58,51.59,14840390000,14547678978,259.18,168.80,1.040,0.0045,0,0,USD,1,2025-08-11,2020-08-31,,8.31,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-25T16:46:58.447+0000,2025-08-25T16:46:58.447+0000,T,346.25,6.24,0.0184,1116811677816.25,47552493,0.0147,0,1,America/New_York,EDT,340.01,339.00,346.42,335.03,0.0335,72782224,100665626,973001570503.75,169.87,277.00,76.96,200.68,2.038,1.725,14.44,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,12.04,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-25T17:39:05.402+0000,2025-08-25T17:39:05.402+0000,T,228.60,0.84,0.0037,3392536898624.00,17641688,0.0012,0,1,America/New_York,EDT,227.76,226.38,229.30,226.24,0.0134,42885230,55304452,3325622690657.16,37.58,30.98,25.90,34.75,6.08,6.58,51.59,14840390000,14547678978,259.18,168.80,1.040,0.0045,0,0,USD,1,2025-08-11,2020-08-31,,8.31,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-25T17:39:04.424+0000,2025-08-25T17:39:04.424+0000,T,347.21,7.20,0.0212,1119891981505.25,57498211,0.0178,0,1,America/New_York,EDT,340.01,339.00,348.70,335.03,0.0402,72782224,100665626,975685228265.00,170.34,277.76,76.96,201.23,2.038,1.725,14.48,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,12.07,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-25T18:49:06.641+0000,2025-08-25T18:49:06.641+0000,T,227.56,-0.21,-0.0009,3377004946450.00,20658070,0.0014,0,1,America/New_York,EDT,227.76,226.38,229.30,226.24,0.0134,42885230,55304452,3310397089838.79,37.40,30.83,25.90,34.59,6.08,6.58,51.36,14840390000,14547678978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.27,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-25T18:49:06.583+0000,2025-08-25T18:49:06.583+0000,T,346.96,6.95,0.0204,1119100133803.00,66638005,0.0207,0,1,America/New_York,EDT,340.01,339.00,348.70,335.03,0.0402,72782224,100665626,974995345563.02,170.22,277.57,76.96,201.09,2.038,1.725,14.47,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,12.06,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-25T19:36:33.454+0000,2025-08-25T19:36:33.454+0000,T,227.58,-0.19,-0.0008,3377301754250.00,22768843,0.0015,0,1,America/New_York,EDT,227.76,226.38,229.30,226.24,0.0134,42885230,55304452,3310688043418.35,37.41,30.84,25.90,34.60,6.08,6.58,51.36,14840390000,14547678978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.27,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-25T19:36:34.873+0000,2025-08-25T19:36:34.873+0000,T,348.39,8.38,0.0246,1123698011194.27,75581108,0.0234,0,1,America/New_York,EDT,340.01,339.00,349.53,335.03,0.0426,72782224,100665626,979001161415.02,170.92,278.71,76.96,201.92,2.038,1.725,14.53,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,12.11,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-25T20:00:00.815+0000,2025-08-25T20:23:26.262+0000,A,227.16,-0.60,-0.0026,3371142992400.00,30908598,0.0021,0,1,America/New_York,EDT,227.76,226.48,229.30,226.23,0.0134,42885230,55304452,3304650756642.48,37.34,30.78,25.90,34.53,6.08,6.58,51.27,14840390000,14547678978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.26,4.431,10/29-11/03,A,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-25T20:00:00.361+0000,2025-08-25T20:23:26.838+0000,A,346.60,6.59,0.0194,1117940584927.40,85746517,0.0266,0,1,America/New_York,EDT,340.01,338.90,349.53,335.03,0.0426,72782224,100665626,973985109997.40,170.04,277.28,76.96,200.88,2.038,1.725,14.45,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,12.05,23.98,10/21-10/27,A,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-26T13:47:32.035+0000,2025-08-26T13:47:32.035+0000,T,225.11,-2.05,-0.0090,3340720192900.00,2967643,0.0002,0,1,America/New_York,EDT,227.16,226.87,227.05,225.01,0.0090,37204135,54918399,3274828014737.58,37.00,30.50,25.90,34.22,6.08,6.58,50.80,14840390000,14547678978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.18,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-26T13:47:32.338+0000,2025-08-26T13:47:32.338+0000,T,346.88,0.28,0.0008,1118827583371.88,9559019,0.0030,0,1,America/New_York,EDT,346.60,344.69,348.70,344.30,0.0127,74470859,100443474,974757891028.13,170.18,277.50,76.96,201.04,2.038,1.725,14.46,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,12.06,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-26T14:41:47.003+0000,2025-08-26T14:41:47.003+0000,T,226.51,-0.65,-0.0029,3361468542159.00,8643901,0.0006,0,1,America/New_York,EDT,227.16,226.87,227.05,224.69,0.0104,37204135,54918399,3295167124716.72,37.23,30.69,25.90,34.43,6.08,6.58,51.12,14840390000,14547678978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.24,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-26T14:41:47.387+0000,2025-08-26T14:41:47.387+0000,T,345.32,-1.28,-0.0037,1113812010349.48,22537230,0.0070,0,1,America/New_York,EDT,346.60,344.69,349.14,344.30,0.0140,74470859,100443474,970388165563.48,169.42,276.26,76.96,200.14,2.038,1.725,14.40,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,12.01,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-26T15:40:13.457+0000,2025-08-26T15:40:13.457+0000,T,227.28,0.12,0.0005,3372849637250.00,12033360,0.0008,0,1,America/New_York,EDT,227.16,226.87,227.30,224.69,0.0115,37204135,54918399,3306323739724.95,37.36,30.80,25.90,34.55,6.08,6.58,51.29,14840390000,14547678978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.26,4.431,10/29-11/03,T,0
,913255598,96,2,[61],6,US,247,Tesla Inc,TSLA,TSLA,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,0,2025-08-26T15:40:13.686+0000,2025-08-26T15:40:13.686+0000,T,344.88,-1.72,-0.0050,1112392812838.32,32257475,0.0100,0,1,America/New_York,EDT,346.60,344.69,349.14,343.72,0.0156,74470859,100443474,969151715914.32,169.20,275.90,76.96,199.88,2.038,1.725,14.38,3225448889,2810112839,488.54,202.59,,0.0000,0,0,USD,1,2022-08-25,2020-08-31,,11.99,23.98,10/21-10/27,T,0
,913256135,96,2,[61],6,US,247,Apple Inc,AAPL,AAPL,NASDAQ,NSQ,1,stock,1,0,0,0,1,6,401,1,2025-08-26T16:45:05.352+0000,2025-08-26T16:45:05.352+0000,T,227.49,0.33,0.0015,3376040321100.00,17118414,0.0012,0,1,America/New_York,EDT,227.16,226.87,227.97,224.69,0.0144,37204135,54918399,3309451490705.22,37.39,30.83,25.90,34.58,6.08,6.58,51.34,14840390000,14547678978,259.18,168.80,1.040,0.0046,0,0,USD,1,2025-08-11,2020-08-31,,8.27,4.431,10/29-11/03,T,0
